Date/Time,Electricity:Facility,Fans:Electricity,Cooling:Electricity,Heating:Electricity,InteriorLights:Electricity,InteriorEquipment:Electricity,Gas:Facility,Heating:Gas,InteriorEquipment:Gas,Water Heater:WaterSystems:Gas
 01/11  17:00:00,1480.154258,101.7897041,550.618619,0,243.2593065,310.1097119,558.8840988,438.4703278,84.97004941,35.44372165
 01/11  18:00:00,1489.465662,101.969615,545.906563,0,243.2593065,310.1097119,543.4865032,440.975779,84.97004941,17.54067473
 01/11  19:00:00,1218.165793,96.21671978,543.4634988,0,166.9389264,199.1109338,526.6540682,424.2081473,84.97004941,17.47587145
 01/11  20:00:00,1214.544333,96.21671978,541.1362947,0,166.9389264,191.6136585,502.9076234,428.7874819,56.64669961,17.47344188
 01/11  21:00:00,1077.717781,96.21671978,539.8452381,0,100.1506573,124.5586935,543.3829704,469.2596835,56.64669961,17.47658732
 01/11  22:00:00,1041.830707,96.21671978,538.3895292,0,100.1506573,124.5586935,537.0103872,477.0972149,42.48502471,17.42814763
 01/11  23:00:00,981.0763633,96.21671978,532.8245272,0,46.09303362,124.5586935,543.0408962,497.2928967,28.3233498,17.42464974
 01/11  24:00:00,980.0097151,96.21671978,527.2347739,0,46.09303362,124.5586935,527.0437282,504.1611979,14.1616749,8.720855444
 01/12  01:00:00,967.8177567,96.21671978,521.7326088,0,46.09303362,113.3127805,533.4856977,510.3959107,5.664669961,17.42511699
 01/12  02:00:00,933.4327842,96.21671978,484.2509667,0,46.09303362,113.3127805,540.5886492,517.5027116,5.664669961,17.42126764
 01/12  03:00:00,885.3986471,96.21671978,436.4701965,0,46.09303362,113.3127805,546.5450568,523.4569598,5.664669961,17.42342712
 01/12  04:00:00,849.9003185,96.21671978,401.3825411,0,46.09303362,113.3127805,545.184811,530.799819,5.664669961,8.720322104
 01/12  05:00:00,941.9002037,96.21671978,405.8004558,0,100.1506573,148.9693994,534.6462654,511.5578756,5.664669961,17.42371981
 01/12  06:00:00,999.7618378,96.70957169,457.4492893,0,100.1506573,149.8943994,852.0473317,820.4598385,14.1616749,17.42581836
 01/12  07:00:00,1223.45354,97.79016904,452.366697,0,176.4710373,302.6124365,629.4678289,583.7223705,28.3233498,17.42210863
 01/12  08:00:00,1349.507215,99.10672897,469.0722882,0,243.2593065,310.1097119,598.7338668,538.6511168,42.48502471,17.59772532
 01/12  09:00:00,1410.507874,99.73699346,491.201924,0,243.2593065,310.1097119,610.1170133,518.0989435,56.64669961,35.37137021
 01/12  10:00:00,1450.810589,100.384786,502.0301882,0,243.2593065,302.6124365,571.8185224,493.8240113,42.48502471,35.50948636
 01/12  11:00:00,1464.613516,100.8353899,509.4570685,0,243.2593065,310.1097119,586.2719486,470.7903987,70.80837451,44.67317543
 01/12  12:00:00,1472.23078,101.1842839,515.8109446,0,243.2593065,310.1097119,570.2362841,454.6705265,70.80837451,44.75738314
 01/12  13:00:00,1435.827607,101.4775061,521.1737751,0,243.2593065,310.1097119,551.5087706,445.1088993,70.80837451,35.59149674
 01/12  14:00:00,1469.346942,101.8494042,523.9483158,0,243.2593065,302.6124365,533.6904533,432.2798284,56.64669961,44.76392535
 01/12  15:00:00,1470.838191,102.2360959,526.7313336,0,243.2593065,302.6124365,484.3273903,406.1108926,42.48502471,35.73147306
 01/12  16:00:00,1471.547619,102.4271052,530.4878061,0,243.2593065,302.6124365,491.8711278,390.651387,56.64669961,44.57304119
 01/12  17:00:00,1476.878565,102.5127147,534.0515625,0,243.2593065,310.1097119,514.9960671,394.5787102,84.97004941,35.44730746
 01/12  18:00:00,1491.310151,102.5760023,534.4025173,0,243.2593065,310.1097119,518.3369764,415.8288637,84.97004941,17.53806324
 01/12  19:00:00,1219.96464,96.21671978,530.2932213,0,166.9389264,199.1109338,517.4998827,415.0548303,84.97004941,17.47500304
 01/12  20:00:00,1186.54551,96.21671978,501.8281501,0,166.9389264,191.6136585,497.5392712,423.4175079,56.64669961,17.47506367
 01/12  21:00:00,1017.854251,96.21671978,467.4591344,0,100.1506573,124.5586935,539.3132248,465.1900661,56.64669961,17.47645907
 01/12  22:00:00,968.5499514,96.21671978,457.0413251,0,100.1506573,124.5586935,532.6739177,472.7591278,42.48502471,17.42976523
 01/12  23:00:00,886.1337468,96.21671978,440.0282362,0,46.09303362,124.5586935,538.4795509,492.7329039,28.3233498,17.42329723
 01/12  24:00:00,866.6811583,96.21671978,419.7772262,0,46.09303362,124.5586935,532.1955523,500.6114583,14.1616749,17.42241912
 01/13  01:00:00,847.0504254,96.21671978,412.9686675,0,46.09303362,113.3127805,520.8936771,506.5060848,5.664669961,8.722922313
 01/13  02:00:00,853.0720459,96.21671978,422.0251088,0,46.09303362,113.3127805,534.7392075,511.651613,5.664669961,17.42292458
 01/13  03:00:00,865.3662109,96.21671978,436.2083533,0,46.09303362,113.3127805,540.3956115,517.3057253,5.664669961,17.42521619
 01/13  04:00:00,844.6033075,96.21671978,415.5644741,0,46.09303362,113.3127805,546.5965595,526.7728475,5.664669961,14.15904206
 01/13  05:00:00,920.3227183,96.21671978,397.3520672,0,100.1506573,148.9693994,526.0953236,508.4465936,5.664669961,11.9840601
 01/13  06:00:00,972.0397803,96.73307222,442.034962,0,100.1506573,149.8943994,846.3064355,814.7210402,14.1616749,17.42372039
 01/13  07:00:00,1221.013856,97.98579523,461.886666,0,176.4710373,302.6124365,624.0849352,578.3376869,28.3233498,17.42389851
 01/13  08:00:00,1370.483252,99.67328437,503.2588486,0,243.2593065,310.1097119,590.0846029,521.2126044,42.48502471,26.38697377
 01/13  09:00:00,1420.63225,100.5420114,516.9783861,0,243.2593065,310.1097119,562.1864656,479.0042037,56.64669961,26.5355623
 01/13  10:00:00,1465.410123,101.1552011,535.0583057,0,243.2593065,302.6124365,529.9508689,451.9515894,42.48502471,35.51425477
 01/13  11:00:00,1492.410821,101.6874617,555.2417883,0,243.2593065,310.1097119,540.9351729,425.4560471,70.80837451,44.67075129
 01/13  12:00:00,1497.873294,102.1965215,557.5530214,0,243.2593065,310.1097119,518.2189372,402.6462777,70.80837451,44.76428497
 01/13  13:00:00,1450.54284,102.6667902,552.9427687,0,243.2593065,310.1097119,491.3406152,384.9356751,70.80837451,35.59656556
 01/13  14:00:00,1476.089893,103.0445192,551.2684073,0,243.2593065,302.6124365,470.6192996,369.2105081,56.64669961,44.7620919
 01/13  15:00:00,1472.11242,103.4009496,551.1641265,0,243.2593065,302.6124365,435.0198254,348.1701966,42.48502471,44.36460403
 01/13  16:00:00,1472.71094,103.7068177,553.5735162,0,243.2593065,302.6124365,430.6767951,338.075496,56.64669961,35.95459953
 01/13  17:00:00,1488.623284,103.7299885,559.7171283,0,243.2593065,310.1097119,466.0332277,345.6102551,84.97004941,35.45292321
 01/13  18:00:00,1511.995117,103.8045913,566.3745112,0,243.2593065,310.1097119,469.0631136,366.5522697,84.97004941,17.54079443
 01/13  19:00:00,1245.985711,96.21671978,589.5630225,0,166.9389264,199.1109338,477.0398655,374.5918741,84.97004941,17.47794201
 01/13  20:00:00,1231.062774,96.21671978,590.5295245,0,166.9389264,191.6136585,458.2068657,384.0824156,56.64669961,17.47775048
 01/13  21:00:00,1093.499209,96.21671978,588.1920891,0,100.1506573,124.5586935,508.7380562,425.8894042,56.64669961,26.20195239
 01/13  22:00:00,1053.896247,96.21671978,587.788776,0,100.1506573,124.5586935,484.1722089,432.961444,42.48502471,8.725740158
 01/13  23:00:00,988.5531651,96.21671978,585.6561889,0,46.09303362,124.5586935,497.4107242,451.6646161,28.3233498,17.42275831
 01/13  24:00:00,989.3483339,96.21671978,582.0412323,0,46.09303362,124.5586935,489.312337,457.7256282,14.1616749,17.42503387
 01/14  01:00:00,979.2523325,96.21671978,577.6956245,0,46.09303362,113.3127805,477.3667574,462.980941,5.664669961,8.721146456
 01/14  02:00:00,982.5953357,96.21671978,573.9643666,0,46.09303362,113.3127805,490.0145921,466.9243271,5.664669961,17.42559498
 01/14  03:00:00,985.3385559,96.21671978,572.0419452,0,46.09303362,113.3127805,493.0127558,469.9262812,5.664669961,17.4218047
 01/14  04:00:00,987.3363565,96.21671978,570.8046018,0,46.09303362,113.3127805,496.9728649,473.8841846,5.664669961,17.42401034
 01/14  05:00:00,994.8898374,96.21671978,567.4050535,0,55.62514452,113.3127805,482.3368896,467.9515953,5.664669961,8.720624338
 01/14  06:00:00,992.27394,96.21671978,563.2028683,0,55.62514452,113.3127805,502.6576972,471.0716389,14.1616749,17.42438334
 01/14  07:00:00,1060.822744,96.21671978,560.993879,0,65.15725541,176.8892702,459.1694696,413.4224545,28.3233498,17.42366533
 01/14  08:00:00,1162.482547,96.52781209,558.9977606,0,109.6827682,220.9681645,729.9880741,670.080181,42.48502471,17.4228684
 01/14  09:00:00,1167.210256,96.5238415,559.7323776,0,109.6827682,220.9681645,624.1638128,549.9980379,56.64669961,17.51907529
 01/14  10:00:00,1274.170161,96.96747073,567.476046,0,131.9455246,266.9558176,577.6344079,508.7491513,42.48502471,26.40023191
 01/14  11:00:00,1288.628441,97.23666238,580.8452323,0,131.9455246,274.4530929,579.1423925,481.8135164,70.80837451,26.52050156
 01/14  12:00:00,1286.94414,97.45597798,579.7977884,0,131.9455246,274.4530929,568.6245845,462.4502459,70.80837451,35.36596405
 01/14  13:00:00,1252.371628,97.68685523,573.8782501,0,131.9455246,274.4530929,540.4155507,443.0927118,70.80837451,26.51446439
 01/14  14:00:00,1240.771961,97.93710297,571.1030189,0,131.9455246,266.9558176,519.2740679,427.2706413,56.64669961,35.35672693
 01/14  15:00:00,1239.524948,98.0295368,572.4949672,0,131.9455246,266.9558176,476.2426455,407.2418073,42.48502471,26.51581347
 01/14  16:00:00,1171.555225,96.21671978,583.5035718,0,109.6827682,212.5458892,395.2103577,303.2085366,56.64669961,35.35512147
 01/14  17:00:00,1189.510561,96.21671978,594.5490127,0,109.6827682,220.0431645,427.9024278,316.4147704,84.97004941,26.51760801
 01/14  18:00:00,1170.656317,96.21671978,602.7871241,0,109.6827682,220.0431645,452.5184744,341.1654672,84.97004941,26.38295776
 01/14  19:00:00,1139.687964,96.21671978,610.8007437,0,100.1506573,199.1109338,486.0599343,383.6656176,84.97004941,17.42426731
 01/14  20:00:00,1135.605463,96.21671978,613.448396,0,100.1506573,191.6136585,464.6237075,390.5535129,56.64669961,17.42349497
 01/14  21:00:00,1022.26208,96.21671978,611.9492692,0,55.62514452,124.5586935,499.3113955,433.944732,56.64669961,8.719963859
 01/14  22:00:00,1017.982075,96.21671978,608.502725,0,55.62514452,124.5586935,500.3224542,440.4135572,42.48502471,17.42387227
 01/14  23:00:00,1004.326269,96.21671978,605.22176,0,46.09303362,124.5586935,503.0711483,457.3246366,28.3233498,17.42316194
 01/14  24:00:00,1002.617456,96.21671978,602.6074954,0,46.09303362,124.5586935,494.5290515,462.9450103,14.1616749,17.42236629
 01/15  01:00:00,978.4435415,96.21671978,601.9881911,0,34.96165543,113.3127805,480.9223036,466.5347515,5.664669961,8.722882059
