Date/Time,Electricity:Facility,Fans:Electricity,Cooling:Electricity,Heating:Electricity,InteriorLights:Electricity,InteriorEquipment:Electricity,Gas:Facility,Heating:Gas,InteriorEquipment:Gas,Water Heater:WaterSystems:Gas
 03/17  20:00:00,1084.415328,96.21671978,573.7454289,0,100.1506573,124.5586935,469.1713526,395.0575831,56.64669961,17.46706987
 03/17  21:00:00,1047.568465,96.21671978,576.4145727,0,100.1506573,124.5586935,463.6307231,403.723356,42.48502471,17.4223424
 03/17  22:00:00,982.4674473,96.21671978,578.5541797,0,46.09303362,124.5586935,468.2782261,422.5398239,28.3233498,17.41505246
 03/17  23:00:00,981.3334296,96.21671978,576.4499731,0,46.09303362,124.5586935,450.552469,427.6720276,14.1616749,8.718766457
 03/17  24:00:00,970.2073995,96.21671978,577.7928803,0,46.09303362,113.3127805,455.5124941,432.4321171,5.664669961,17.41570712
 03/18  01:00:00,972.6964162,96.21671978,580.4520089,0,46.09303362,113.3127805,459.5581965,436.4785012,5.664669961,17.41502534
 03/18  02:00:00,975.3802041,96.21671978,583.3632004,0,46.09303362,113.3127805,455.2366486,440.85329,5.664669961,8.718688604
 03/18  03:00:00,974.2747208,96.21671978,582.2353564,0,46.09303362,113.3127805,466.7207107,443.6421734,5.664669961,17.41386732
 03/18  04:00:00,982.7357503,96.21671978,580.364284,0,55.62514452,113.3127805,457.0393573,433.9596243,5.664669961,17.41506306
 03/18  05:00:00,982.8994651,96.21671978,580.571673,0,55.62514452,113.3127805,457.3672616,434.4868228,14.1616749,8.718763907
 03/18  06:00:00,1058.593667,96.21671978,583.3916826,0,65.15725541,176.8892702,421.2081737,375.4708085,28.3233498,17.41401538
 03/18  07:00:00,1153.7439,96.51002533,571.5420977,0,109.6827682,220.9681645,619.3188526,559.4185753,42.48502471,17.41525253
 03/18  08:00:00,1159.526506,96.50930526,567.03741,0,109.6827682,220.9681645,555.4321962,481.2784365,56.64669961,17.50706001
 03/18  09:00:00,1265.481555,97.45920186,564.592615,0,131.9455246,266.9558176,520.3122257,451.4515692,42.48502471,26.3756318
 03/18  10:00:00,1272.331914,97.6238039,563.7756455,0,131.9455246,274.4530929,535.3467394,438.0369502,70.80837451,26.50141464
 03/18  11:00:00,1272.234308,97.7150601,562.4571812,0,131.9455246,274.4530929,535.3793303,429.249881,70.80837451,35.32107477
 03/18  12:00:00,1236.525238,97.81685558,558.5619554,0,131.9455246,274.4530929,514.5642084,417.2601167,70.80837451,26.49571716
 03/18  13:00:00,1225.89739,97.93265994,555.1246717,0,131.9455246,266.9558176,489.4675697,406.3286544,56.64669961,26.49221567
 03/18  14:00:00,1228.247724,97.94896886,557.6995424,0,131.9455246,266.9558176,483.6396979,405.8405154,42.48502471,35.31415785
 03/18  15:00:00,1157.327828,96.21671978,565.863041,0,109.6827682,212.5458892,397.2261794,314.0825044,56.64669961,26.49697536
 03/18  16:00:00,1164.837779,96.21671978,566.2454968,0,109.6827682,220.0431645,413.4469772,301.990126,84.97004941,26.48680179
 03/18  17:00:00,1121.783166,96.21671978,565.5307928,0,109.6827682,220.0431645,409.6925342,298.3615821,84.97004941,26.36090272
 03/18  18:00:00,1089.942378,96.21671978,572.9854093,0,100.1506573,199.1109338,443.2208691,340.8361554,84.97004941,17.41466432
 03/18  19:00:00,1108.503743,96.21671978,583.489231,0,100.1506573,191.6136585,430.715093,365.3513188,56.64669961,8.717074507
 03/18  20:00:00,996.0484261,96.21671978,582.6315917,0,55.62514452,124.5586935,487.8069755,413.7435843,56.64669961,17.41669157
 03/18  21:00:00,993.2517477,96.21671978,579.9917638,0,55.62514452,124.5586935,480.3254368,420.4255077,42.48502471,17.41490435
 03/18  22:00:00,982.0621136,96.21671978,578.7409597,0,46.09303362,124.5586935,472.0810917,435.0405761,28.3233498,8.717165849
 03/18  23:00:00,979.2481907,96.21671978,574.5372322,0,46.09303362,124.5586935,473.3450738,441.766638,14.1616749,17.41676097
 03/18  24:00:00,964.336727,96.21671978,571.6894472,0,46.09303362,113.3127805,468.3066836,445.2253445,5.664669961,17.41666909
 03/19  01:00:00,952.5437348,96.21671978,571.0215855,0,34.96165543,113.3127805,463.0733685,448.1865321,5.664669961,9.222166406
 03/19  02:00:00,953.0798674,96.21671978,571.5985329,0,34.96165543,113.3127805,472.7699164,450.1943912,5.664669961,16.91085528
 03/19  03:00:00,953.2353606,96.21671978,571.774265,0,34.96165543,113.3127805,475.274878,452.1955246,5.664669961,17.41468347
 03/19  04:00:00,958.3715498,96.21671978,566.3398196,0,44.49376632,113.3127805,459.0560759,442.5729598,5.664669961,10.81844619
 03/19  05:00:00,971.8617407,96.21671978,580.7812991,0,44.49376632,113.3127805,478.3530096,448.8783368,14.1616749,15.31299788
 03/19  06:00:00,1057.791824,96.21671978,594.6028868,0,54.02587722,176.8892702,438.7516616,393.0136104,28.3233498,17.41470133
 03/19  07:00:00,1060.04478,96.21671978,605.7835697,0,54.02587722,184.3865456,443.0343584,388.3713915,42.48502471,12.17794211
 03/19  08:00:00,1147.296067,96.21671978,614.313175,0,65.15725541,220.0431645,439.6853872,360.2883036,56.64669961,22.75038397
 03/19  09:00:00,1136.082142,96.21671978,610.6045648,0,65.15725541,212.5458892,406.2109445,346.1528524,42.48502471,17.57306742
 03/19  10:00:00,1129.253938,96.21671978,595.5508483,0,65.15725541,220.0431645,441.4630298,335.3687816,70.80837451,35.28587371
 03/19  11:00:00,1121.63389,96.21671978,586.3653098,0,65.15725541,220.0431645,425.5663026,328.2899804,70.80837451,26.46794771
 03/19  12:00:00,1118.676052,96.21671978,584.7184422,0,65.15725541,220.0431645,419.139646,321.8643146,70.80837451,26.46695692
 03/19  13:00:00,1106.278411,96.21671978,579.9018551,0,65.15725541,212.5458892,398.2914966,315.1785775,56.64669961,26.46621951
 03/19  14:00:00,1101.901662,96.21671978,575.518716,0,65.15725541,212.5458892,385.3943227,307.6229278,42.48502471,35.28637022
 03/19  15:00:00,1099.429387,96.21671978,573.2125476,0,65.15725541,212.5458892,379.3662409,296.2519729,56.64669961,26.46756836
 03/19  16:00:00,1067.165131,96.21671978,566.1438062,0,65.15725541,220.0431645,399.9786068,288.5411074,84.97004941,26.46744993
 03/19  17:00:00,1019.778608,96.21671978,565.5571549,0,54.02587722,184.3865456,407.4141027,296.0965435,84.97004941,26.34750985
 03/19  18:00:00,995.6818971,96.21671978,572.2575958,0,44.49376632,163.4543149,441.3108557,338.926145,84.97004941,17.41466127
 03/19  19:00:00,1013.563132,96.21671978,581.9252111,0,44.49376632,155.9570395,430.1843363,364.8191096,56.64669961,8.718527109
 03/19  20:00:00,987.4639974,96.21671978,587.5782261,0,44.49376632,124.5586935,480.8977192,406.837514,56.64669961,17.41350557
 03/19  21:00:00,989.0783416,96.21671978,589.6566002,0,44.49376632,124.5586935,474.4995673,414.5998824,42.48502471,17.41466018
 03/19  22:00:00,976.8321176,96.21671978,584.1829427,0,34.96165543,124.5586935,467.7138319,430.6719419,28.3233498,8.718540213
 03/19  23:00:00,980.0617431,96.21671978,583.689438,0,34.96165543,124.5586935,467.77935,436.2041426,14.1616749,17.41353249
 03/19  24:00:00,965.4447921,96.21671978,586.9003383,0,34.96165543,113.3127805,463.7867566,440.7073792,5.664669961,17.41470748
 03/20  01:00:00,983.7166202,96.21671978,594.984738,0,46.09303362,113.3127805,460.6266796,446.2436198,5.664669961,8.718389803
 03/20  02:00:00,989.8556458,96.21671978,601.2244474,0,46.09303362,113.3127805,476.4524807,453.3747083,5.664669961,17.41310241
 03/20  03:00:00,993.4130295,96.21671978,604.0851365,0,46.09303362,113.3127805,484.2518538,461.1730276,5.664669961,17.41415628
 03/20  04:00:00,1077.428746,96.21671978,599.0987308,0,100.1506573,148.9693994,455.0749981,440.6920626,5.664669961,8.718265611
 03/20  05:00:00,1079.887265,96.21671978,597.1958556,0,100.1506573,149.8943994,837.0910597,805.5149068,14.1616749,17.41447798
 03/20  06:00:00,1308.894099,96.461988,595.3321984,0,176.4710373,302.6124365,568.4884476,522.751057,28.3233498,17.41404078
 03/20  07:00:00,1417.393502,96.7521032,591.9115113,0,243.2593065,310.1097119,527.2966054,467.2295751,42.48502471,17.58200556
 03/20  08:00:00,1447.433983,97.10141941,583.7805508,0,243.2593065,310.1097119,527.2027384,435.2269219,56.64669961,35.32911686
 03/20  09:00:00,1474.536776,97.47390887,581.2814665,0,243.2593065,302.6124365,505.5505238,427.6071913,42.48502471,35.45830774
 03/20  10:00:00,1477.949924,97.85228678,576.3741892,0,243.2593065,310.1097119,514.8872431,408.4046095,70.80837451,35.67425907
 03/20  11:00:00,1477.475637,98.19289449,574.243884,0,243.2593065,310.1097119,512.5832923,397.0885694,70.80837451,44.68634833
 03/20  12:00:00,1432.593489,98.54830883,570.5436629,0,243.2593065,310.1097119,490.8136588,384.4536549,70.80837451,35.55162936
 03/20  13:00:00,1457.865795,98.93125916,561.5125823,0,243.2593065,302.6124365,470.44696,369.1107181,56.64669961,44.68954227
 03/20  14:00:00,1457.848792,99.24052869,560.5238974,0,243.2593065,302.6124365,445.3611434,367.1997058,42.48502471,35.67641284
 03/20  15:00:00,1472.171557,99.76910392,574.238756,0,243.2593065,302.6124365,453.8257799,353.7144708,56.64669961,43.46460956
 03/20  16:00:00,1488.647563,100.0924877,584.4068198,0,243.2593065,310.1097119,475.0035663,362.4134153,84.97004941,27.62010153
 03/20  17:00:00,1509.258769,100.5607123,605.9451372,0,243.2593065,310.1097119,483.5479825,372.2982498,84.97004941,26.27968331
 03/20  18:00:00,1238.090526,96.21671978,605.9424032,0,166.9389264,199.1109338,465.6289399,363.1964769,84.97004941,17.46241357
