Date/Time,Electricity:Facility,Fans:Electricity,Cooling:Electricity,Heating:Electricity,InteriorLights:Electricity,InteriorEquipment:Electricity,Gas:Facility,Heating:Gas,InteriorEquipment:Gas,Water Heater:WaterSystems:Gas
 09/29  12:00:00,1402.77341841,140.126641026,485.784918135,0.0,243.2593065,310.10971186,167.738888841,70.4632311356,70.808374512,26.4672831937
 09/29  13:00:00,1441.16658594,145.520584714,485.432085969,0.0,243.2593065,302.612436532,143.935582843,52.7809911811,56.6466996096,34.5078920526
 09/29  14:00:00,1445.0473311,149.832571063,484.973780011,0.0,243.2593065,302.612436532,113.169846967,43.2286829476,42.4850247072,27.4561393125
 09/29  15:00:00,1446.10843109,151.438820406,484.448663892,0.0,243.2593065,302.612436532,124.748681336,41.6077951212,56.6466996096,26.4941866051
 09/29  16:00:00,1452.52180115,151.581323324,484.071064671,0.0,243.2593065,310.10971186,156.386764854,45.0304873233,84.9700494144,26.3862281159
 09/29  17:00:00,1451.18531643,150.594862074,483.762303067,0.0,243.2593065,310.10971186,155.417907659,52.9967538704,84.9700494144,17.4511043744
 09/29  18:00:00,1142.50446891,96.2167197752,487.330825124,0.0,166.938926447,199.110933808,220.080918334,117.706269883,84.9700494144,17.404599036
 09/29  19:00:00,1140.33352867,96.2167197752,486.159971119,0.0,166.938926447,191.61365848,231.553058386,166.195754683,56.6466996096,8.71060409363
 09/29  20:00:00,990.928254183,96.2167197752,476.376422323,0.0,100.150657288,124.558693486,311.876251273,237.827040544,56.6466996096,17.4025111188
 09/29  21:00:00,950.550824206,96.2167197752,476.434835964,0.0,100.150657288,124.558693486,308.771902762,257.5929511,42.4850247072,8.69392695515
 09/29  22:00:00,881.131547936,96.2167197752,475.379498838,0.0,46.0930336215,124.558693486,340.182614322,294.495998602,28.3233498048,17.3632659147
 09/29  23:00:00,880.659556861,96.2167197752,474.88390388,0.0,46.0930336215,124.558693486,363.149410592,340.296274952,14.1616749024,8.69146073694
 09/29  24:00:00,887.554599308,96.2167197752,491.685721433,0.0,46.0930336215,113.312780494,388.266442202,373.910420061,5.66466996096,8.69135218048
